Order_Line_ID,Store_ID,SKU,Source_Hub_ID,Order_Date,Required_Delivery_Date,Quantity_Ordered
OL00001,ST043,SKU0019,HUB-BLR,2024-05-10,2024-05-17,5
OL00002,ST057,SKU0136,HUB-BOM,2025-05-09,2025-05-15,4
OL00003,ST055,SKU0374,HUB-BOM,2024-03-09,2024-03-18,4
OL00004,ST019,SKU0352,HUB-BOM,2025-06-04,2025-06-12,2
OL00005,ST036,SKU0043,HUB-DEL,2025-05-11,2025-05-16,6
OL00006,ST026,SKU0329,HUB-DEL,2024-09-17,2024-09-25,1
OL00007,ST028,SKU0175,HUB-BOM,2024-12-12,2024-12-22,3
OL00008,ST063,SKU0323,HUB-BOM,2024-01-09,2024-01-12,1
OL00009,ST009,SKU0241,HUB-BLR,2024-07-24,2024-08-03,19
OL00010,ST058,SKU0242,HUB-DEL,2024-06-11,2024-06-16,10
OL00011,ST025,SKU0162,HUB-BOM,2024-07-12,2024-07-18,4
OL00012,ST032,SKU0006,HUB-DEL,2025-06-22,2025-06-26,14
OL00013,ST007,SKU0197,HUB-DEL,2024-02-22,2024-03-01,10
OL00014,ST008,SKU0333,HUB-DEL,2024-09-29,2024-10-08,2
OL00015,ST020,SKU0201,HUB-BOM,2024-07-18,2024-07-24,2
OL00016,ST060,SKU0418,HUB-BOM,2024-03-24,2024-03-30,8
OL00017,ST027,SKU0131,HUB-BLR,2024-01-01,2024-01-06,8
OL00018,ST015,SKU0432,HUB-DEL,2024-02-07,2024-02-13,8
OL00019,ST009,SKU0496,HUB-DEL,2024-10-26,2024-10-31,11
OL00020,ST029,SKU0241,HUB-BLR,2024-12-06,2024-12-14,22
OL00021,ST049,SKU0037,HUB-BOM,2024-11-21,2024-11-27,1
OL00022,ST004,SKU0064,HUB-BLR,2024-05-09,2024-05-19,10
OL00023,ST010,SKU0077,HUB-BLR,2024-11-17,2024-11-21,6
OL00024,ST060,SKU0086,HUB-BLR,2025-01-17,2025-01-21,9
OL00025,ST017,SKU0164,HUB-BOM,2024-10-21,2024-10-27,1
OL00026,ST031,SKU0247,HUB-BOM,2024-09-29,2024-10-02,8
OL00027,ST055,SKU0232,HUB-BLR,2025-02-28,2025-03-07,9
OL00028,ST063,SKU0459,HUB-DEL,2024-10-18,2024-10-27,15
OL00029,ST002,SKU0233,HUB-BOM,2024-03-19,2024-03-29,5
OL00030,ST053,SKU0214,HUB-BOM,2025-01-07,2025-01-10,4
OL00031,ST043,SKU0239,HUB-DEL,2025-03-24,2025-03-28,2
OL00032,ST063,SKU0204,HUB-BOM,2025-05-20,2025-05-28,2
OL00033,ST048,SKU0237,HUB-BLR,2025-06-17,2025-06-22,2
OL00034,ST047,SKU0132,HUB-BOM,2024-06-24,2024-07-02,2
OL00035,ST026,SKU0449,HUB-DEL,2024-05-06,2024-05-16,4
OL00036,ST037,SKU0449,HUB-DEL,2024-12-16,2024-12-20,20
OL00037,ST025,SKU0152,HUB-BLR,2024-02-27,2024-03-07,8
OL00038,ST045,SKU0437,HUB-BLR,2024-01-26,2024-02-03,5
OL00039,ST003,SKU0114,HUB-DEL,2024-08-17,2024-08-26,5
OL00040,ST046,SKU0303,HUB-BLR,2024-01-16,2024-01-24,3
OL00041,ST013,SKU0182,HUB-DEL,2024-09-04,2024-09-07,4
OL00042,ST026,SKU0296,HUB-DEL,2024-07-21,2024-07-30,3
OL00043,ST013,SKU0350,HUB-BLR,2024-03-22,2024-04-01,13
OL00044,ST008,SKU0190,HUB-BLR,2024-02-27,2024-03-06,7
OL00045,ST050,SKU0292,HUB-DEL,2024-09-22,2024-10-02,5
OL00046,ST046,SKU0353,HUB-BOM,2024-05-12,2024-05-22,1
OL00047,ST018,SKU0046,HUB-DEL,2024-10-18,2024-10-23,6
OL00048,ST044,SKU0431,HUB-DEL,2024-05-04,2024-05-12,3
OL00049,ST063,SKU0315,HUB-DEL,2024-02-28,2024-03-02,3
OL00050,ST020,SKU0060,HUB-BOM,2025-02-28,2025-03-09,3
OL00051,ST034,SKU0108,HUB-DEL,2024-03-13,2024-03-17,4
OL00052,ST032,SKU0092,HUB-DEL,2024-09-19,2024-09-24,3
OL00053,ST006,SKU0400,HUB-BLR,2025-04-06,2025-04-09,15
OL00054,ST049,SKU0110,HUB-DEL,2025-04-21,2025-04-28,4
OL00055,ST014,SKU0376,HUB-BOM,2025-01-09,2025-01-17,2
OL00056,ST031,SKU0449,HUB-DEL,2024-01-25,2024-02-03,6
OL00057,ST016,SKU0216,HUB-DEL,2024-12-01,2024-12-04,12
OL00058,ST056,SKU0109,HUB-BOM,2025-05-22,2025-06-01,4
OL00059,ST051,SKU0267,HUB-DEL,2024-05-08,2024-05-14,8
OL00060,ST052,SKU0128,HUB-BLR,2025-04-16,2025-04-23,7
OL00061,ST053,SKU0364,HUB-DEL,2024-12-03,2024-12-07,15
OL00062,ST043,SKU0127,HUB-BLR,2024-05-02,2024-05-11,3
OL00063,ST025,SKU0103,HUB-BLR,2024-02-11,2024-02-21,6
OL00064,ST002,SKU0283,HUB-BLR,2024-03-19,2024-03-25,10
OL00065,ST007,SKU0414,HUB-BLR,2024-09-14,2024-09-24,17
OL00066,ST064,SKU0083,HUB-BOM,2024-06-08,2024-06-12,3
OL00067,ST019,SKU0354,HUB-BOM,2024-05-27,2024-06-03,3
OL00068,ST010,SKU0306,HUB-BLR,2024-11-13,2024-11-16,10
OL00069,ST014,SKU0236,HUB-BOM,2025-06-25,2025-06-29,3
OL00070,ST027,SKU0256,HUB-BOM,2025-03-06,2025-03-10,4
OL00071,ST019,SKU0224,HUB-BOM,2025-02-23,2025-03-04,1
OL00072,ST005,SKU0152,HUB-BLR,2024-07-25,2024-08-02,21
OL00073,ST051,SKU0141,HUB-BOM,2025-05-28,2025-06-01,4
OL00074,ST029,SKU0445,HUB-BOM,2024-08-06,2024-08-16,6
OL00075,ST013,SKU0237,HUB-BLR,2024-08-18,2024-08-25,17
OL00076,ST060,SKU0295,HUB-DEL,2024-07-03,2024-07-10,6
OL00077,ST056,SKU0287,HUB-DEL,2024-03-15,2024-03-24,4
OL00078,ST027,SKU0491,HUB-BOM,2024-02-08,2024-02-14,2
OL00079,ST026,SKU0094,HUB-DEL,2024-11-01,2024-11-05,9
OL00080,ST043,SKU0384,HUB-DEL,2025-03-20,2025-03-24,4
OL00081,ST008,SKU0353,HUB-BOM,2025-03-02,2025-03-11,8
OL00082,ST032,SKU0027,HUB-BOM,2025-01-16,2025-01-20,9
OL00083,ST053,SKU0099,HUB-BLR,2024-04-29,2024-05-06,5
OL00084,ST054,SKU0127,HUB-BLR,2024-02-12,2024-02-21,7
OL00085,ST031,SKU0495,HUB-BOM,2024-10-07,2024-10-16,3
OL00086,ST024,SKU0097,HUB-DEL,2024-01-03,2024-01-09,2
OL00087,ST051,SKU0117,HUB-BLR,2024-11-28,2024-12-05,8
OL00088,ST057,SKU0119,HUB-BOM,2024-03-09,2024-03-18,7
OL00089,ST041,SKU0345,HUB-DEL,2024-08-16,2024-08-19,6
OL00090,ST037,SKU0133,HUB-BLR,2025-05-29,2025-06-01,10
OL00091,ST028,SKU0429,HUB-BOM,2025-04-30,2025-05-10,3
OL00092,ST021,SKU0233,HUB-BOM,2025-04-11,2025-04-21,2
OL00093,ST032,SKU0172,HUB-BLR,2025-01-08,2025-01-18,7
OL00094,ST058,SKU0203,HUB-BOM,2024-06-04,2024-06-09,5
OL00095,ST054,SKU0215,HUB-BOM,2024-03-16,2024-03-26,11
OL00096,ST016,SKU0283,HUB-BLR,2024-01-20,2024-01-30,9
OL00097,ST028,SKU0414,HUB-BLR,2024-06-09,2024-06-13,5
OL00098,ST036,SKU0397,HUB-BLR,2024-05-12,2024-05-17,17
OL00099,ST007,SKU0403,HUB-BOM,2025-05-10,2025-05-14,3
OL00100,ST041,SKU0117,HUB-BLR,2024-08-14,2024-08-18,15
OL00101,ST035,SKU0322,HUB-BOM,2024-03-04,2024-03-12,2
OL00102,ST011,SKU0266,HUB-BLR,2025-01-02,2025-01-11,5
OL00103,ST043,SKU0423,HUB-BLR,2024-03-30,2024-04-08,6
OL00104,ST054,SKU0098,HUB-DEL,2024-08-27,2024-09-01,8
