Shipment_Leg_ID,Leg_Type,Transport_Mode,Origin,Destination,Dispatch_Timestamp,Arrival_Timestamp,Transportation_Cost
SL000001,Inter-Hub,FTL,HUB-BLR,HUB-BOM,2024-01-01 18:00:00,2024-01-03 21:13:20.000000,17199.5
SL000002,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-01 18:00:00,2024-01-04 20:46:40.000000,31229.75
SL000003,Inter-Hub,FTL,HUB-BOM,HUB-DEL,2024-01-01 18:00:00,2024-01-04 19:06:40.000000,21865.5
SL000004,Inter-Hub,FTL,HUB-BLR,HUB-BOM,2024-01-02 18:00:00,2024-01-04 02:13:20.000000,17518.75
SL000005,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-02 18:00:00,2024-01-05 16:46:40.000000,30914.3
SL000006,Inter-Hub,FTL,HUB-BOM,HUB-DEL,2024-01-02 18:00:00,2024-01-05 14:06:40.000000,21965.0
SL000007,Inter-Hub,FTL,HUB-DEL,HUB-BOM,2024-01-02 18:00:00,2024-01-05 07:06:40.000000,21894.5
SL000008,Inter-Hub,FTL,HUB-BLR,HUB-BOM,2024-01-03 18:00:00,2024-01-05 08:13:20.000000,17004.5
SL000009,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-03 18:00:00,2024-01-06 22:46:40.000000,30982.1
SL000010,Inter-Hub,FTL,HUB-BOM,HUB-BLR,2024-01-03 18:00:00,2024-01-05 13:13:20.000000,17075.0
SL000011,Inter-Hub,FTL,HUB-DEL,HUB-BOM,2024-01-03 18:00:00,2024-01-06 23:06:40.000000,22056.75
SL000012,Inter-Hub,FTL,HUB-BLR,HUB-BOM,2024-01-04 18:00:00,2024-01-07 06:13:20.000000,17028.0
SL000013,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-04 18:00:00,2024-01-07 02:46:40.000000,30927.75
SL000014,Inter-Hub,FTL,HUB-BOM,HUB-BLR,2024-01-04 18:00:00,2024-01-07 13:13:20.000000,17044.5
SL000015,Inter-Hub,FTL,HUB-DEL,HUB-BOM,2024-01-04 18:00:00,2024-01-07 09:06:40.000000,21931.5
SL000016,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-05 18:00:00,2024-01-09 01:46:40.000000,30914.45
SL000017,Inter-Hub,FTL,HUB-BOM,HUB-DEL,2024-01-05 18:00:00,2024-01-08 02:06:40.000000,22052.0
SL000018,Inter-Hub,FTL,HUB-DEL,HUB-BLR,2024-01-05 18:00:00,2024-01-08 05:46:40.000000,30901.0
SL000019,Inter-Hub,FTL,HUB-BLR,HUB-BOM,2024-01-06 18:00:00,2024-01-08 15:13:20.000000,17499.2
SL000020,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-06 18:00:00,2024-01-10 05:46:40.000000,31008.8
SL000021,Inter-Hub,FTL,HUB-BOM,HUB-DEL,2024-01-06 18:00:00,2024-01-09 06:06:40.000000,21968.25
SL000022,Inter-Hub,FTL,HUB-DEL,HUB-BLR,2024-01-06 18:00:00,2024-01-09 13:46:40.000000,30877.0
SL000023,Inter-Hub,FTL,HUB-BLR,HUB-BOM,2024-01-07 18:00:00,2024-01-09 13:13:20.000000,17099.25
SL000024,Inter-Hub,FTL,HUB-BOM,HUB-DEL,2024-01-07 18:00:00,2024-01-10 08:06:40.000000,22031.0
SL000025,Inter-Hub,FTL,HUB-DEL,HUB-BLR,2024-01-07 18:00:00,2024-01-11 12:46:40.000000,30829.0
SL000026,Inter-Hub,FTL,HUB-DEL,HUB-BOM,2024-01-07 18:00:00,2024-01-10 06:06:40.000000,21834.5
SL000027,Inter-Hub,FTL,HUB-BLR,HUB-BOM,2024-01-08 18:00:00,2024-01-10 08:13:20.000000,17295.8
SL000028,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-08 18:00:00,2024-01-11 17:46:40.000000,31080.75
SL000029,Inter-Hub,FTL,HUB-BOM,HUB-BLR,2024-01-08 18:00:00,2024-01-11 02:13:20.000000,17313.5
SL000030,Inter-Hub,FTL,HUB-BOM,HUB-DEL,2024-01-08 18:00:00,2024-01-11 00:06:40.000000,21830.5
SL000031,Inter-Hub,FTL,HUB-DEL,HUB-BLR,2024-01-08 18:00:00,2024-01-12 00:46:40.000000,30842.0
SL000032,Inter-Hub,FTL,HUB-BLR,HUB-BOM,2024-01-09 18:00:00,2024-01-12 01:13:20.000000,17027.0
SL000033,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-09 18:00:00,2024-01-12 19:46:40.000000,30862.5
SL000034,Inter-Hub,FTL,HUB-DEL,HUB-BOM,2024-01-09 18:00:00,2024-01-13 01:06:40.000000,21952.25
SL000035,Inter-Hub,FTL,HUB-BLR,HUB-BOM,2024-01-10 18:00:00,2024-01-12 12:13:20.000000,17420.5
SL000036,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-10 18:00:00,2024-01-13 20:46:40.000000,30897.5
SL000037,Inter-Hub,FTL,HUB-BOM,HUB-DEL,2024-01-10 18:00:00,2024-01-12 20:06:40.000000,21912.0
SL000038,Inter-Hub,FTL,HUB-DEL,HUB-BOM,2024-01-10 18:00:00,2024-01-13 18:06:40.000000,22168.25
SL000039,Inter-Hub,FTL,HUB-BLR,HUB-BOM,2024-01-11 18:00:00,2024-01-14 11:13:20.000000,17156.6
SL000040,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-11 18:00:00,2024-01-15 01:46:40.000000,30886.25
SL000041,Inter-Hub,FTL,HUB-DEL,HUB-BLR,2024-01-11 18:00:00,2024-01-14 07:46:40.000000,30824.75
SL000042,Inter-Hub,FTL,HUB-DEL,HUB-BOM,2024-01-11 18:00:00,2024-01-14 23:06:40.000000,22215.25
SL000043,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-12 18:00:00,2024-01-16 11:46:40.000000,30868.85
SL000044,Inter-Hub,FTL,HUB-BOM,HUB-DEL,2024-01-12 18:00:00,2024-01-15 18:06:40.000000,21855.8
SL000045,Inter-Hub,FTL,HUB-BLR,HUB-BOM,2024-01-13 18:00:00,2024-01-15 19:13:20.000000,17339.0
SL000046,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-13 18:00:00,2024-01-16 14:46:40.000000,31027.0
SL000047,Inter-Hub,FTL,HUB-BOM,HUB-DEL,2024-01-13 18:00:00,2024-01-15 16:06:40.000000,21887.75
SL000048,Inter-Hub,FTL,HUB-DEL,HUB-BOM,2024-01-13 18:00:00,2024-01-16 01:06:40.000000,21997.0
SL000049,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-14 18:00:00,2024-01-17 11:46:40.000000,30951.2
SL000050,Inter-Hub,FTL,HUB-BOM,HUB-DEL,2024-01-14 18:00:00,2024-01-17 07:06:40.000000,22015.25
SL000051,Inter-Hub,FTL,HUB-DEL,HUB-BOM,2024-01-14 18:00:00,2024-01-17 14:06:40.000000,21936.0
SL000052,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-15 18:00:00,2024-01-19 12:46:40.000000,30967.1
SL000053,Inter-Hub,FTL,HUB-BOM,HUB-DEL,2024-01-15 18:00:00,2024-01-17 16:06:40.000000,21854.0
SL000054,Inter-Hub,FTL,HUB-BLR,HUB-BOM,2024-01-16 18:00:00,2024-01-18 17:13:20.000000,17012.0
SL000055,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-16 18:00:00,2024-01-19 05:46:40.000000,31007.15
SL000056,Inter-Hub,FTL,HUB-DEL,HUB-BOM,2024-01-16 18:00:00,2024-01-19 04:06:40.000000,22221.5
SL000057,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-17 18:00:00,2024-01-21 05:46:40.000000,31161.0
SL000058,Inter-Hub,FTL,HUB-DEL,HUB-BOM,2024-01-17 18:00:00,2024-01-19 12:06:40.000000,21942.5
SL000059,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-18 18:00:00,2024-01-21 09:46:40.000000,30812.5
SL000060,Inter-Hub,FTL,HUB-BOM,HUB-DEL,2024-01-18 18:00:00,2024-01-22 00:06:40.000000,21990.25
SL000061,Inter-Hub,FTL,HUB-BLR,HUB-BOM,2024-01-19 18:00:00,2024-01-22 03:13:20.000000,17083.25
SL000062,Inter-Hub,FTL,HUB-BOM,HUB-DEL,2024-01-19 18:00:00,2024-01-23 00:06:40.000000,21852.5
SL000063,Inter-Hub,FTL,HUB-BLR,HUB-BOM,2024-01-20 18:00:00,2024-01-23 00:13:20.000000,17055.5
SL000064,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-20 18:00:00,2024-01-23 11:46:40.000000,30911.0
SL000065,Inter-Hub,FTL,HUB-BOM,HUB-DEL,2024-01-20 18:00:00,2024-01-23 23:06:40.000000,21907.5
SL000066,Inter-Hub,FTL,HUB-BLR,HUB-BOM,2024-01-21 18:00:00,2024-01-24 09:13:20.000000,17136.5
SL000067,Inter-Hub,FTL,HUB-BOM,HUB-BLR,2024-01-21 18:00:00,2024-01-23 12:13:20.000000,17084.0
SL000068,Inter-Hub,FTL,HUB-DEL,HUB-BLR,2024-01-21 18:00:00,2024-01-24 19:46:40.000000,31145.75
SL000069,Inter-Hub,FTL,HUB-DEL,HUB-BOM,2024-01-21 18:00:00,2024-01-24 00:06:40.000000,21952.5
SL000070,Inter-Hub,FTL,HUB-BLR,HUB-BOM,2024-01-22 18:00:00,2024-01-24 11:13:20.000000,17138.75
SL000071,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-22 18:00:00,2024-01-26 17:46:40.000000,30865.7
SL000072,Inter-Hub,FTL,HUB-BOM,HUB-DEL,2024-01-22 18:00:00,2024-01-25 01:06:40.000000,21910.4
SL000073,Inter-Hub,FTL,HUB-DEL,HUB-BLR,2024-01-22 18:00:00,2024-01-26 01:46:40.000000,30954.0
SL000074,Inter-Hub,FTL,HUB-DEL,HUB-BOM,2024-01-22 18:00:00,2024-01-25 18:06:40.000000,21857.75
SL000075,Inter-Hub,FTL,HUB-BLR,HUB-BOM,2024-01-23 18:00:00,2024-01-25 19:13:20.000000,17309.75
SL000076,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-23 18:00:00,2024-01-27 07:46:40.000000,30923.0
SL000077,Inter-Hub,FTL,HUB-BOM,HUB-BLR,2024-01-23 18:00:00,2024-01-26 01:13:20.000000,17169.0
SL000078,Inter-Hub,FTL,HUB-BOM,HUB-DEL,2024-01-23 18:00:00,2024-01-25 22:06:40.000000,22092.0
SL000079,Inter-Hub,FTL,HUB-DEL,HUB-BLR,2024-01-23 18:00:00,2024-01-27 17:46:40.000000,30902.6
SL000080,Inter-Hub,FTL,HUB-BLR,HUB-BOM,2024-01-24 18:00:00,2024-01-27 10:13:20.000000,17017.5
SL000081,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-24 18:00:00,2024-01-27 00:46:40.000000,30855.2
SL000082,Inter-Hub,FTL,HUB-BLR,HUB-BOM,2024-01-25 18:00:00,2024-01-28 00:13:20.000000,17278.5
SL000083,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-25 18:00:00,2024-01-28 05:46:40.000000,30868.0
SL000084,Inter-Hub,FTL,HUB-BOM,HUB-BLR,2024-01-25 18:00:00,2024-01-27 23:13:20.000000,17046.5
SL000085,Inter-Hub,FTL,HUB-BOM,HUB-DEL,2024-01-25 18:00:00,2024-01-28 17:06:40.000000,22102.5
SL000086,Inter-Hub,FTL,HUB-DEL,HUB-BLR,2024-01-25 18:00:00,2024-01-28 08:46:40.000000,30843.5
SL000087,Inter-Hub,FTL,HUB-DEL,HUB-BOM,2024-01-25 18:00:00,2024-01-28 01:06:40.000000,21850.0
SL000088,Inter-Hub,FTL,HUB-BLR,HUB-BOM,2024-01-26 18:00:00,2024-01-29 10:13:20.000000,17266.75
SL000089,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-26 18:00:00,2024-01-30 05:46:40.000000,31044.75
SL000090,Inter-Hub,FTL,HUB-BOM,HUB-BLR,2024-01-26 18:00:00,2024-01-29 11:13:20.000000,17123.0
SL000091,Inter-Hub,FTL,HUB-BOM,HUB-DEL,2024-01-26 18:00:00,2024-01-29 23:06:40.000000,21900.0
SL000092,Inter-Hub,FTL,HUB-DEL,HUB-BLR,2024-01-26 18:00:00,2024-01-29 14:46:40.000000,30894.25
SL000093,Inter-Hub,FTL,HUB-DEL,HUB-BOM,2024-01-26 18:00:00,2024-01-29 22:06:40.000000,21918.5
SL000094,Inter-Hub,FTL,HUB-BOM,HUB-DEL,2024-01-27 18:00:00,2024-01-30 21:06:40.000000,21899.0
SL000095,Inter-Hub,FTL,HUB-BLR,HUB-BOM,2024-01-28 18:00:00,2024-01-31 08:13:20.000000,17012.0
SL000096,Inter-Hub,FTL,HUB-BLR,HUB-DEL,2024-01-28 18:00:00,2024-02-01 17:46:40.000000,31044.75
SL000097,Inter-Hub,FTL,HUB-BOM,HUB-DEL,2024-01-28 18:00:00,2024-01-30 11:06:40.000000,21916.0
SL000098,Inter-Hub,FTL,HUB-BLR,HUB-BOM,2024-01-29 18:00:00,2024-02-01 00:13:20.000000,17007.0
