Shipment_Leg_ID,Order_Line_ID,Quantity_Shipped
SL000001,OL04966,10
SL000001,OL05791,11
SL000002,OL00179,2
SL000002,OL04133,1
SL000003,OL00300,14
SL000003,OL01132,2
SL000003,OL03835,8
SL000003,OL03901,3
SL000004,OL00516,6
SL000005,OL02001,5
SL000006,OL04180,3
SL000006,OL04995,6
SL000007,OL02775,3
SL000008,OL00162,6
SL000008,OL00968,7
SL000009,OL01440,3
SL000010,OL00417,5
SL000010,OL02735,6
SL000011,OL03374,14
SL000012,OL05035,9
SL000012,OL05418,5
SL000013,OL04700,2
SL000014,OL04671,2
SL000015,OL02568,4
SL000015,OL05310,12
SL000016,OL00675,4
SL000016,OL05184,4
SL000017,OL01967,4
SL000018,OL00229,17
SL000019,OL05266,1
SL000019,OL05543,4
SL000020,OL03201,4
SL000021,OL00387,3
SL000021,OL05229,3
SL000022,OL03666,2
SL000023,OL02369,3
SL000024,OL00427,6
SL000024,OL04773,10
SL000025,OL03899,6
SL000026,OL02597,3
SL000026,OL03639,2
SL000026,OL04844,6
SL000027,OL05863,1
SL000028,OL03046,3
SL000029,OL02653,8
SL000029,OL04208,9
SL000029,OL05772,6
SL000030,OL00149,1
SL000030,OL05346,2
SL000030,OL05479,4
SL000031,OL03723,13
SL000031,OL04390,5
SL000032,OL04813,3
SL000033,OL00910,2
SL000033,OL05105,4
SL000034,OL03000,7
SL000034,OL03162,2
SL000034,OL03837,3
SL000034,OL04899,1
SL000034,OL05940,4
SL000035,OL01340,6
SL000036,OL02621,5
SL000037,OL03739,3
SL000037,OL04694,5
SL000038,OL02900,3
SL000039,OL01993,5
SL000039,OL02995,5
SL000039,OL03596,13
SL000040,OL02437,7
SL000040,OL02796,5
SL000041,OL03001,3
SL000042,OL02027,2
SL000042,OL03074,6
SL000043,OL00850,6
SL000044,OL04959,7
SL000045,OL04698,8
SL000046,OL02471,5
SL000046,OL05596,6
SL000047,OL01969,3
SL000048,OL04130,7
SL000048,OL04240,10
SL000049,OL00183,8
SL000049,OL00738,7
SL000050,OL01424,9
SL000050,OL01693,6
SL000050,OL02732,4
SL000051,OL01028,5
SL000052,OL01277,5
SL000053,OL02776,3
SL000053,OL04142,2
SL000053,OL05574,3
SL000054,OL00479,3
SL000055,OL00585,2
SL000056,OL00760,2
SL000056,OL03317,10
SL000057,OL00459,5
SL000057,OL05248,6
SL000058,OL04296,4
SL000058,OL05108,1
SL000059,OL03153,5
SL000060,OL00021,6
SL000061,OL01022,9
SL000061,OL01449,4
SL000061,OL02160,11
SL000061,OL04079,4
SL000062,OL00700,10
SL000062,OL01584,4
SL000063,OL04509,5
SL000064,OL04111,6
SL000065,OL00705,5
SL000065,OL01952,3
