Supplier_ID,City,Specialty
SUP001,Kanpur,Leather Goods
SUP002,Kanpur,Leather Goods
SUP003,Jaipur,Jewellery
SUP004,Kanpur,Leather Goods
SUP005,Jaipur,Jewellery
SUP006,Kanpur,Leather Goods
SUP007,Jaipur,Jewellery
SUP008,Jaipur,Jewellery
SUP009,Kanpur,Leather Goods
SUP010,Jaipur,Jewellery
SUP011,Tiruppur,Cotton Apparel
SUP012,Tiruppur,Cotton Apparel
SUP013,Tiruppur,Cotton Apparel
SUP014,Tiruppur,Cotton Apparel
SUP015,Kanpur,Leather Goods
SUP016,Jaipur,Jewellery
SUP017,Tiruppur,Cotton Apparel
SUP018,Jaipur,Jewellery
SUP019,Jaipur,Jewellery
SUP020,Tiruppur,Cotton Apparel
