Backorder_ID,Order_Line_ID,Order_ID,SKU,Quantity_Backordered,Backorder_Date,Status
BO00001,OL21818,ORD07227,SKU0360,2,2022-07-07,Pending
BO00002,OL21882,ORD07245,SKU0360,10,2022-07-08,Pending
BO00003,OL21910,ORD07253,SKU0360,11,2022-07-08,Pending
BO00004,OL22311,ORD07393,SKU0382,17,2022-07-12,Pending
BO00005,OL22825,ORD07569,SKU0199,2,2022-07-16,Pending
BO00006,OL23086,ORD07664,SKU0434,7,2022-07-19,Pending
BO00007,OL23574,ORD07827,SKU0434,12,2022-07-22,Pending
BO00008,OL23682,ORD07862,SKU0317,2,2022-07-23,Pending
BO00009,OL23694,ORD07865,SKU0434,9,2022-07-23,Pending
BO00010,OL23818,ORD07909,SKU0161,5,2022-07-24,Pending
BO00011,OL23882,ORD07928,SKU0371,13,2022-07-25,Pending
BO00012,OL24527,ORD08143,SKU0482,10,2022-07-31,Pending
BO00013,OL25424,ORD08436,SKU0152,15,2022-08-07,Pending
BO00014,OL25934,ORD08609,SKU0360,12,2022-08-12,Pending
BO00015,OL32494,ORD10823,SKU0245,5,2022-10-08,Pending
BO00016,OL32554,ORD10846,SKU0031,22,2022-10-08,Pending
BO00017,OL32612,ORD10863,SKU0293,13,2022-10-09,Pending
BO00018,OL32628,ORD10870,SKU0225,22,2022-10-09,Pending
BO00019,OL32769,ORD10913,SKU0036,13,2022-10-10,Pending
BO00020,OL32979,ORD10985,SKU0225,15,2022-10-12,Pending
BO00021,OL33101,ORD11024,SKU0457,1,2022-10-13,Pending
BO00022,OL33257,ORD11078,SKU0457,19,2022-10-15,Pending
BO00023,OL33419,ORD11137,SKU0225,19,2022-10-16,Pending
BO00024,OL33437,ORD11142,SKU0178,11,2022-10-16,Pending
BO00025,OL33475,ORD11155,SKU0255,7,2022-10-17,Pending
BO00026,OL33484,ORD11158,SKU0178,16,2022-10-17,Pending
BO00027,OL33514,ORD11169,SKU0178,15,2022-10-17,Pending
BO00028,OL33585,ORD11191,SKU0302,4,2022-10-17,Pending
BO00029,OL33673,ORD11219,SKU0225,20,2022-10-18,Pending
BO00030,OL33683,ORD11222,SKU0255,9,2022-10-18,Pending
BO00031,OL33743,ORD11241,SKU0255,21,2022-10-19,Pending
BO00032,OL33791,ORD11257,SKU0457,9,2022-10-19,Pending
BO00033,OL33815,ORD11263,SKU0097,4,2022-10-19,Pending
BO00034,OL33827,ORD11268,SKU0350,6,2022-10-19,Pending
