Inbound_Shipment_ID,Supplier_ID,Destination_Hub_ID,SKU,Quantity_Received,Expected_Arrival_Date,Actual_Arrival_Date
INB00001,SUP002,HUB-BOM,SKU0355,43,2022-01-16,2022-01-17
INB00002,SUP006,HUB-BOM,SKU0310,42,2022-01-21,2022-01-24
INB00002,SUP006,HUB-BOM,SKU0246,39,2022-01-23,2022-01-26
INB00002,SUP006,HUB-BOM,SKU0358,46,2022-01-25,2022-01-26
INB00005,SUP006,HUB-BOM,SKU0088,47,2022-01-26,2022-01-29
INB00005,SUP006,HUB-BOM,SKU0330,46,2022-01-29,2022-01-29
INB00003,SUP018,HUB-BLR,SKU0304,102,2022-01-30,2022-01-30
INB00005,SUP006,HUB-BOM,SKU0186,39,2022-01-29,2022-01-30
INB00004,SUP014,HUB-DEL,SKU0113,61,2022-01-30,2022-01-31
INB00005,SUP006,HUB-BOM,SKU0292,43,2022-01-31,2022-01-31
INB00005,SUP006,HUB-BOM,SKU0380,38,2022-01-31,2022-01-31
INB00005,SUP006,HUB-BOM,SKU0090,41,2022-01-29,2022-02-01
INB00005,SUP006,HUB-BOM,SKU0474,37,2022-01-30,2022-02-01
INB00004,SUP014,HUB-DEL,SKU0034,62,2022-01-28,2022-02-02
INB00005,SUP006,HUB-BOM,SKU0391,43,2022-01-29,2022-02-02
INB00005,SUP006,HUB-BOM,SKU0431,42,2022-02-01,2022-02-02
INB00006,SUP010,HUB-BLR,SKU0158,95,2022-01-30,2022-02-02
INB00005,SUP006,HUB-BOM,SKU0280,46,2022-01-29,2022-02-03
INB00006,SUP010,HUB-BLR,SKU0288,94,2022-02-01,2022-02-04
INB00006,SUP010,HUB-BLR,SKU0383,94,2022-02-04,2022-02-05
INB00007,SUP020,HUB-DEL,SKU0424,63,2022-02-02,2022-02-07
INB00008,SUP009,HUB-BOM,SKU0274,43,2022-02-03,2022-02-07
INB00008,SUP009,HUB-BOM,SKU0402,39,2022-02-07,2022-02-07
INB00007,SUP020,HUB-DEL,SKU0284,68,2022-02-06,2022-02-08
INB00007,SUP020,HUB-DEL,SKU0286,58,2022-02-03,2022-02-08
INB00007,SUP020,HUB-DEL,SKU0318,63,2022-02-04,2022-02-08
INB00008,SUP009,HUB-BOM,SKU0020,40,2022-02-05,2022-02-08
INB00008,SUP009,HUB-BOM,SKU0279,41,2022-02-04,2022-02-08
INB00008,SUP009,HUB-BOM,SKU0420,40,2022-02-07,2022-02-08
INB00008,SUP009,HUB-BOM,SKU0421,40,2022-02-04,2022-02-08
INB00006,SUP010,HUB-BLR,SKU0018,100,2022-02-09,2022-02-09
INB00007,SUP020,HUB-DEL,SKU0057,58,2022-02-09,2022-02-09
INB00008,SUP009,HUB-BOM,SKU0022,43,2022-02-08,2022-02-09
INB00008,SUP009,HUB-BOM,SKU0070,39,2022-02-04,2022-02-09
INB00008,SUP009,HUB-BOM,SKU0199,42,2022-02-07,2022-02-09
INB00008,SUP009,HUB-BOM,SKU0340,48,2022-02-09,2022-02-09
INB00008,SUP009,HUB-BOM,SKU0485,39,2022-02-05,2022-02-09
INB00008,SUP009,HUB-BOM,SKU0161,47,2022-02-06,2022-02-10
INB00008,SUP009,HUB-BOM,SKU0218,42,2022-02-06,2022-02-10
INB00008,SUP009,HUB-BOM,SKU0490,39,2022-02-05,2022-02-10
INB00007,SUP020,HUB-DEL,SKU0226,58,2022-02-11,2022-02-11
INB00007,SUP020,HUB-DEL,SKU0398,77,2022-02-10,2022-02-11
INB00008,SUP009,HUB-BOM,SKU0461,38,2022-02-06,2022-02-11
INB00008,SUP009,HUB-BOM,SKU0152,38,2022-02-09,2022-02-12
INB00008,SUP009,HUB-BOM,SKU0260,42,2022-02-11,2022-02-12
INB00008,SUP009,HUB-BOM,SKU0263,42,2022-02-09,2022-02-12
