Snapshot_Date,Hub_ID,SKU,Quantity_On_Hand
2022-01-01,HUB-BOM,SKU0001,350
2022-01-01,HUB-DEL,SKU0002,245
2022-01-01,HUB-DEL,SKU0003,171
2022-01-01,HUB-BLR,SKU0004,195
2022-01-01,HUB-BLR,SKU0005,254
2022-01-01,HUB-DEL,SKU0006,328
2022-01-01,HUB-DEL,SKU0007,127
2022-01-01,HUB-DEL,SKU0008,283
2022-01-01,HUB-BOM,SKU0009,104
2022-01-01,HUB-BOM,SKU0010,348
2022-01-01,HUB-DEL,SKU0011,169
2022-01-01,HUB-BLR,SKU0012,184
2022-01-01,HUB-BLR,SKU0013,296
2022-01-01,HUB-BOM,SKU0014,387
2022-01-01,HUB-DEL,SKU0015,358
2022-01-01,HUB-BLR,SKU0016,353
2022-01-01,HUB-DEL,SKU0017,309
2022-01-01,HUB-BLR,SKU0018,351
2022-01-01,HUB-BOM,SKU0019,312
2022-01-01,HUB-BOM,SKU0020,327
2022-01-01,HUB-BLR,SKU0021,350
2022-01-01,HUB-BOM,SKU0022,185
2022-01-01,HUB-BLR,SKU0023,142
2022-01-01,HUB-BOM,SKU0024,389
2022-01-01,HUB-BOM,SKU0025,112
2022-01-01,HUB-BLR,SKU0026,212
2022-01-01,HUB-DEL,SKU0027,239
2022-01-01,HUB-BOM,SKU0028,116
2022-01-01,HUB-DEL,SKU0029,240
2022-01-01,HUB-DEL,SKU0030,215
2022-01-01,HUB-DEL,SKU0031,370
2022-01-01,HUB-BOM,SKU0032,247
2022-01-01,HUB-BLR,SKU0033,186
2022-01-01,HUB-DEL,SKU0034,334
2022-01-01,HUB-BLR,SKU0035,389
2022-01-01,HUB-DEL,SKU0036,353
2022-01-01,HUB-DEL,SKU0037,381
2022-01-01,HUB-BLR,SKU0038,361
2022-01-01,HUB-DEL,SKU0039,157
2022-01-01,HUB-BOM,SKU0040,387
2022-01-01,HUB-BLR,SKU0041,158
2022-01-01,HUB-DEL,SKU0042,237
2022-01-01,HUB-DEL,SKU0043,373
2022-01-01,HUB-BLR,SKU0044,277
2022-01-01,HUB-DEL,SKU0045,369
2022-01-01,HUB-DEL,SKU0046,121
2022-01-01,HUB-DEL,SKU0047,325
2022-01-01,HUB-DEL,SKU0048,379
2022-01-01,HUB-BOM,SKU0049,211
2022-01-01,HUB-BLR,SKU0050,317
2022-01-01,HUB-BLR,SKU0051,152
2022-01-01,HUB-DEL,SKU0052,226
2022-01-01,HUB-DEL,SKU0053,252
2022-01-01,HUB-BOM,SKU0054,116
2022-01-01,HUB-DEL,SKU0055,325
2022-01-01,HUB-BOM,SKU0056,234
2022-01-01,HUB-DEL,SKU0057,278
2022-01-01,HUB-BOM,SKU0058,140
2022-01-01,HUB-DEL,SKU0059,324
2022-01-01,HUB-DEL,SKU0060,160
2022-01-01,HUB-BLR,SKU0061,221
2022-01-01,HUB-DEL,SKU0062,204
2022-01-01,HUB-BLR,SKU0063,279
2022-01-01,HUB-BOM,SKU0064,319
2022-01-01,HUB-BLR,SKU0065,184
2022-01-01,HUB-BOM,SKU0066,171
2022-01-01,HUB-BOM,SKU0067,205
2022-01-01,HUB-DEL,SKU0068,199
2022-01-01,HUB-BLR,SKU0069,130
2022-01-01,HUB-BOM,SKU0070,391
2022-01-01,HUB-BLR,SKU0071,272
2022-01-01,HUB-BLR,SKU0072,372
2022-01-01,HUB-BLR,SKU0073,243
2022-01-01,HUB-BLR,SKU0074,375
2022-01-01,HUB-DEL,SKU0075,178
2022-01-01,HUB-BOM,SKU0076,265
2022-01-01,HUB-BOM,SKU0077,249
2022-01-01,HUB-DEL,SKU0078,248
2022-01-01,HUB-BLR,SKU0079,393
2022-01-01,HUB-DEL,SKU0080,236
2022-01-01,HUB-BLR,SKU0081,353
2022-01-01,HUB-BLR,SKU0082,148
2022-01-01,HUB-BOM,SKU0083,164
2022-01-01,HUB-BOM,SKU0084,310
2022-01-01,HUB-BOM,SKU0085,130
2022-01-01,HUB-DEL,SKU0086,241
2022-01-01,HUB-BLR,SKU0087,164
2022-01-01,HUB-BOM,SKU0088,167
2022-01-01,HUB-BLR,SKU0089,227
2022-01-01,HUB-BOM,SKU0090,174
2022-01-01,HUB-BLR,SKU0091,257
2022-01-01,HUB-DEL,SKU0092,226
2022-01-01,HUB-BLR,SKU0093,301
2022-01-01,HUB-BLR,SKU0094,350
2022-01-01,HUB-DEL,SKU0095,172
2022-01-01,HUB-BOM,SKU0096,395
2022-01-01,HUB-BOM,SKU0097,237
2022-01-01,HUB-DEL,SKU0098,312
2022-01-01,HUB-BLR,SKU0099,292
2022-01-01,HUB-DEL,SKU0100,331
2022-01-01,HUB-BLR,SKU0101,138
2022-01-01,HUB-DEL,SKU0102,147
2022-01-01,HUB-DEL,SKU0103,306
2022-01-01,HUB-DEL,SKU0104,354
2022-01-01,HUB-BLR,SKU0105,242
2022-01-01,HUB-BOM,SKU0106,288
2022-01-01,HUB-BOM,SKU0107,326
2022-01-01,HUB-BOM,SKU0108,349
2022-01-01,HUB-BLR,SKU0109,267
2022-01-01,HUB-BLR,SKU0110,397
2022-01-01,HUB-DEL,SKU0111,101
2022-01-01,HUB-BLR,SKU0112,147
2022-01-01,HUB-DEL,SKU0113,334
2022-01-01,HUB-BOM,SKU0114,283
2022-01-01,HUB-DEL,SKU0115,132
2022-01-01,HUB-BOM,SKU0116,373
2022-01-01,HUB-DEL,SKU0117,303
2022-01-01,HUB-BOM,SKU0118,211
2022-01-01,HUB-BOM,SKU0119,319
2022-01-01,HUB-BLR,SKU0120,208
2022-01-01,HUB-BLR,SKU0121,353
2022-01-01,HUB-BLR,SKU0122,229
2022-01-01,HUB-BOM,SKU0123,265
2022-01-01,HUB-BOM,SKU0124,245
2022-01-01,HUB-DEL,SKU0125,272
2022-01-01,HUB-BOM,SKU0126,380
2022-01-01,HUB-BOM,SKU0127,395
2022-01-01,HUB-DEL,SKU0128,166
2022-01-01,HUB-BOM,SKU0129,389
2022-01-01,HUB-BLR,SKU0130,348
2022-01-01,HUB-BLR,SKU0131,268
2022-01-01,HUB-BLR,SKU0132,115
2022-01-01,HUB-DEL,SKU0133,123
2022-01-01,HUB-DEL,SKU0134,150
2022-01-01,HUB-DEL,SKU0135,329
2022-01-01,HUB-BOM,SKU0136,104
2022-01-01,HUB-BLR,SKU0137,163
2022-01-01,HUB-DEL,SKU0138,171
2022-01-01,HUB-BOM,SKU0139,325
2022-01-01,HUB-BLR,SKU0140,333
2022-01-01,HUB-DEL,SKU0141,100
2022-01-01,HUB-DEL,SKU0142,319
2022-01-01,HUB-BLR,SKU0143,203
2022-01-01,HUB-DEL,SKU0144,167
2022-01-01,HUB-BLR,SKU0145,242
2022-01-01,HUB-BOM,SKU0146,181
2022-01-01,HUB-BOM,SKU0147,240
2022-01-01,HUB-BLR,SKU0148,141
2022-01-01,HUB-DEL,SKU0149,284
2022-01-01,HUB-BOM,SKU0150,228
2022-01-01,HUB-BOM,SKU0151,142
2022-01-01,HUB-BOM,SKU0152,290
2022-01-01,HUB-BLR,SKU0153,184
2022-01-01,HUB-BOM,SKU0154,126
2022-01-01,HUB-BOM,SKU0155,302
2022-01-01,HUB-BLR,SKU0156,256
2022-01-01,HUB-DEL,SKU0157,219
2022-01-01,HUB-BLR,SKU0158,319
2022-01-01,HUB-BOM,SKU0159,146
2022-01-01,HUB-BOM,SKU0160,148
2022-01-01,HUB-BOM,SKU0161,100
2022-01-01,HUB-BLR,SKU0162,209
2022-01-01,HUB-DEL,SKU0163,344
2022-01-01,HUB-BOM,SKU0164,139
2022-01-01,HUB-BLR,SKU0165,167
2022-01-01,HUB-BLR,SKU0166,208
2022-01-01,HUB-BLR,SKU0167,365
2022-01-01,HUB-BOM,SKU0168,327
2022-01-01,HUB-BLR,SKU0169,104
2022-01-01,HUB-BOM,SKU0170,104
2022-01-01,HUB-BOM,SKU0171,275
2022-01-01,HUB-BLR,SKU0172,161
2022-01-01,HUB-DEL,SKU0173,316
2022-01-01,HUB-BOM,SKU0174,167
2022-01-01,HUB-BLR,SKU0175,344
2022-01-01,HUB-BOM,SKU0176,134
2022-01-01,HUB-BOM,SKU0177,211
2022-01-01,HUB-BOM,SKU0178,294
2022-01-01,HUB-BLR,SKU0179,145
2022-01-01,HUB-BOM,SKU0180,152
2022-01-01,HUB-BOM,SKU0181,150
2022-01-01,HUB-BLR,SKU0182,260
2022-01-01,HUB-BLR,SKU0183,288
2022-01-01,HUB-DEL,SKU0184,253
2022-01-01,HUB-BLR,SKU0185,170
2022-01-01,HUB-BOM,SKU0186,295
2022-01-01,HUB-DEL,SKU0187,168
2022-01-01,HUB-DEL,SKU0188,173
2022-01-01,HUB-BOM,SKU0189,135
2022-01-01,HUB-DEL,SKU0190,371
2022-01-01,HUB-BOM,SKU0191,388
2022-01-01,HUB-BLR,SKU0192,104
2022-01-01,HUB-BOM,SKU0193,184
2022-01-01,HUB-DEL,SKU0194,325
2022-01-01,HUB-BOM,SKU0195,279
2022-01-01,HUB-DEL,SKU0196,209
2022-01-01,HUB-BLR,SKU0197,177
2022-01-01,HUB-BLR,SKU0198,310
2022-01-01,HUB-BOM,SKU0199,322
2022-01-01,HUB-BOM,SKU0200,211
2022-01-01,HUB-BLR,SKU0201,140
2022-01-01,HUB-DEL,SKU0202,151
2022-01-01,HUB-BLR,SKU0203,164
2022-01-01,HUB-DEL,SKU0204,163
