Shipment_Leg_ID,Order_Line_ID,Quantity_Shipped
SL000001,OL00003,2
SL000002,OL00004,2
SL000003,OL00005,6
SL000004,OL00006,4
SL000005,OL00007,6
SL000006,OL00008,2
SL000007,OL00009,5
SL000008,OL00010,4
SL000009,OL00012,4
SL000010,OL00014,9
SL000011,OL00015,4
SL000012,OL00016,16
SL000013,OL00017,9
SL000014,OL00018,6
SL000015,OL00019,5
SL000016,OL00021,8
SL000017,OL00022,7
SL000018,OL00024,9
SL000019,OL00025,8
SL000020,OL00026,10
SL000021,OL00027,5
SL000022,OL00028,6
SL000023,OL00030,4
SL000024,OL00031,2
SL000025,OL00033,5
SL000026,OL00035,5
SL000027,OL00036,3
SL000028,OL00037,2
SL000029,OL00038,7
SL000030,OL00040,3
SL000031,OL00041,10
SL000032,OL00043,8
SL000033,OL00044,8
SL000034,OL00047,2
SL000035,OL00048,15
SL000036,OL00049,11
SL000037,OL00050,7
SL000038,OL00051,7
SL000039,OL00052,5
SL000040,OL00053,8
SL000041,OL00055,4
SL000042,OL00056,6
SL000043,OL00057,6
SL000044,OL00058,6
SL000045,OL00061,3
SL000046,OL00063,2
SL000047,OL00064,6
SL000048,OL00065,9
SL000049,OL00066,8
SL000050,OL00068,8
SL000051,OL00069,10
SL000052,OL00070,10
SL000053,OL00072,7
SL000054,OL00073,4
SL000055,OL00074,7
SL000056,OL00075,12
SL000057,OL00076,4
SL000058,OL00077,6
SL000059,OL00078,12
SL000060,OL00079,6
SL000061,OL00080,4
SL000062,OL00081,3
SL000063,OL00082,4
SL000064,OL00083,7
SL000065,OL00084,11
SL000066,OL00085,9
SL000067,OL00087,6
SL000068,OL00088,4
SL000069,OL00090,6
SL000070,OL00092,4
SL000071,OL00093,5
SL000072,OL00094,7
SL000073,OL00095,7
SL000074,OL00096,3
SL000074,OL00097,3
SL000074,OL00098,4
SL000075,OL00100,9
SL000076,OL00101,4
SL000077,OL00102,5
SL000078,OL00104,12
SL000079,OL00105,7
SL000080,OL00106,6
SL000081,OL00107,4
SL000082,OL00108,3
SL000083,OL00110,7
SL000084,OL00112,2
SL000085,OL00114,5
SL000086,OL00116,4
SL000087,OL00117,6
SL000088,OL00118,12
SL000089,OL00119,6
SL000090,OL00122,6
SL000091,OL00125,10
SL000092,OL00126,2
SL000093,OL00127,6
SL000094,OL00128,4
SL000094,OL00129,5
SL000094,OL00130,6
SL000094,OL00131,4
SL000095,OL00133,8
SL000096,OL00134,5
SL000097,OL00135,8
SL000098,OL00137,7
SL000099,OL00138,5
SL000100,OL00140,4
SL000101,OL00141,8
SL000102,OL00142,5
SL000103,OL00144,3
SL000104,OL00147,9
SL000105,OL00148,6
SL000106,OL00149,3
SL000107,OL00151,8
SL000108,OL00154,10
SL000109,OL00155,4
SL000110,OL00156,8
SL000111,OL00158,5
SL000112,OL00160,5
SL000113,OL00161,4
SL000114,OL00162,4
SL000115,OL00163,8
SL000116,OL00164,11
SL000117,OL00165,7
SL000118,OL00166,5
SL000119,OL00167,14
SL000120,OL00168,6
SL000121,OL00170,7
SL000122,OL00174,1
SL000123,OL00175,2
SL000124,OL00176,5
SL000125,OL00178,6
SL000126,OL00180,10
SL000127,OL00181,3
SL000128,OL00182,6
SL000129,OL00183,8
SL000130,OL00187,5
SL000131,OL00189,13
SL000132,OL00190,7
SL000133,OL00191,12
SL000134,OL00193,22
SL000135,OL00194,21
SL000136,OL00195,6
SL000137,OL00196,5
SL000138,OL00197,21
SL000139,OL00198,12
SL000140,OL00199,14
SL000141,OL00200,7
SL000142,OL00201,3
SL000143,OL00202,5
SL000144,OL00205,5
SL000145,OL00208,3
SL000146,OL00209,5
SL000147,OL00210,5
SL000148,OL00211,6
SL000149,OL00212,9
SL000150,OL00214,16
SL000151,OL00215,6
SL000152,OL00218,5
SL000153,OL00219,3
SL000154,OL00222,3
SL000155,OL00070,10
SL000155,OL00071,10
SL000155,OL00072,7
SL000156,OL00094,7
SL000156,OL00095,7
SL000157,OL00054,2
SL000157,OL00055,4
SL000158,OL00107,4
SL000158,OL00108,3
SL000158,OL00109,5
SL000159,OL00225,2
SL000160,OL00226,4
SL000161,OL00230,4
SL000162,OL00231,5
SL000163,OL00233,5
SL000164,OL00235,3
SL000165,OL00236,5
SL000166,OL00237,3
SL000167,OL00239,4
SL000168,OL00241,2
SL000169,OL00242,2
SL000170,OL00244,1
SL000171,OL00245,2
SL000172,OL00246,4
SL000173,OL00247,3
SL000174,OL00248,3
SL000174,OL00249,6
SL000175,OL00250,5
SL000176,OL00252,3
SL000177,OL00253,7
SL000178,OL00254,7
SL000179,OL00255,2
SL000180,OL00257,8
SL000181,OL00260,7
SL000182,OL00261,7
SL000183,OL00262,4
SL000184,OL00263,3
SL000185,OL00265,6
SL000186,OL00266,5
SL000187,OL00267,7
SL000188,OL00269,2
SL000189,OL00270,3
SL000190,OL00271,3
SL000191,OL00272,6
SL000192,OL00273,4
SL000193,OL00274,2
SL000194,OL00275,3
SL000195,OL00276,3
SL000196,OL00280,2
SL000197,OL00281,2
SL000197,OL00282,2
SL000198,OL00283,3
SL000199,OL00284,8
SL000200,OL00285,7
SL000201,OL00286,13
SL000202,OL00287,7
SL000203,OL00288,3
SL000204,OL00289,3
SL000205,OL00291,13
SL000206,OL00293,8
SL000207,OL00295,5
SL000208,OL00296,4
SL000209,OL00297,3
SL000210,OL00298,5
SL000211,OL00299,6
SL000212,OL00300,3
SL000213,OL00301,1
SL000214,OL00302,6
SL000215,OL00303,2
SL000216,OL00304,1
SL000217,OL00305,4
SL000218,OL00307,9
SL000219,OL00308,10
SL000220,OL00310,4
SL000221,OL00311,1
SL000221,OL00312,2
SL000222,OL00314,3
SL000223,OL00315,8
SL000224,OL00316,9
SL000225,OL00317,4
SL000226,OL00318,5
SL000227,OL00319,4
SL000228,OL00320,3
SL000229,OL00321,6
SL000230,OL00324,8
SL000231,OL00325,12
SL000232,OL00326,2
SL000233,OL00327,1
SL000234,OL00329,4
SL000235,OL00331,10
SL000236,OL00334,4
SL000237,OL00335,7
SL000238,OL00337,5
SL000239,OL00339,8
SL000240,OL00080,4
SL000240,OL00081,3
SL000241,OL00140,4
SL000242,OL00149,3
SL000242,OL00150,5
SL000243,OL00073,4
SL000244,OL00211,6
SL000244,OL00212,9
SL000245,OL00064,6
SL000245,OL00065,9
SL000246,OL00106,6
SL000247,OL00053,8
SL000248,OL00099,4
SL000248,OL00100,9
SL000248,OL00101,4
SL000248,OL00102,5
SL000248,OL00103,6
SL000249,OL00016,16
SL000249,OL00017,9
SL000249,OL00018,6
SL000250,OL00084,11
SL000251,OL00181,3
SL000252,OL00202,5
SL000252,OL00203,6
SL000253,OL00204,5
SL000253,OL00205,5
SL000254,OL00340,5
SL000255,OL00341,3
SL000256,OL00342,5
SL000257,OL00344,4
SL000258,OL00345,5
SL000258,OL00346,4
SL000258,OL00347,7
SL000258,OL00348,4
SL000259,OL00349,4
SL000260,OL00350,4
SL000261,OL00351,2
SL000262,OL00352,2
SL000263,OL00353,8
SL000264,OL00355,8
SL000265,OL00357,6
SL000266,OL00358,6
SL000267,OL00360,5
SL000268,OL00361,14
SL000269,OL00362,15
SL000270,OL00363,6
SL000271,OL00365,7
SL000272,OL00368,3
SL000273,OL00369,5
SL000274,OL00373,9
SL000275,OL00374,12
SL000276,OL00375,6
SL000277,OL00376,8
SL000277,OL00377,9
SL000278,OL00378,5
SL000279,OL00379,2
SL000280,OL00380,5
SL000281,OL00383,3
SL000282,OL00384,4
SL000283,OL00385,3
SL000284,OL00386,4
SL000285,OL00387,4
SL000286,OL00388,6
SL000287,OL00389,2
SL000288,OL00391,3
SL000289,OL00392,3
SL000290,OL00393,4
SL000291,OL00394,6
SL000292,OL00396,7
SL000293,OL00397,1
SL000294,OL00402,9
SL000295,OL00404,2
SL000296,OL00406,6
SL000297,OL00407,6
SL000298,OL00409,13
SL000299,OL00411,8
SL000300,OL00413,6
SL000301,OL00414,5
SL000302,OL00416,6
SL000303,OL00417,2
SL000304,OL00418,4
SL000305,OL00421,3
SL000306,OL00422,2
SL000307,OL00423,6
SL000308,OL00424,6
SL000309,OL00425,10
SL000310,OL00426,3
SL000311,OL00427,2
SL000312,OL00428,2
SL000313,OL00431,3
SL000314,OL00432,2
SL000315,OL00433,2
SL000316,OL00434,5
SL000317,OL00435,4
SL000318,OL00436,3
SL000319,OL00437,6
SL000320,OL00132,7
SL000320,OL00133,8
SL000320,OL00134,5
SL000320,OL00135,8
SL000320,OL00136,11
SL000321,OL00001,6
SL000321,OL00002,6
SL000321,OL00003,2
SL000321,OL00004,2
SL000322,OL00057,6
SL000322,OL00058,6
SL000322,OL00059,12
SL000322,OL00060,9
SL000322,OL00061,3
SL000323,OL00079,6
SL000324,OL00242,2
SL000325,OL00008,2
SL000325,OL00009,5
SL000325,OL00010,4
SL000325,OL00011,7
SL000325,OL00012,4
SL000326,OL00013,7
SL000326,OL00014,9
SL000326,OL00015,4
SL000327,OL00183,8
SL000327,OL00184,6
SL000327,OL00185,8
SL000327,OL00186,7
SL000327,OL00187,5
SL000328,OL00056,6
SL000329,OL00085,9
SL000329,OL00086,15
SL000329,OL00087,6
SL000330,OL00216,6
SL000330,OL00217,3
SL000330,OL00218,5
SL000330,OL00219,3
SL000331,OL00191,12
SL000331,OL00192,10
SL000331,OL00193,22
SL000331,OL00194,21
SL000332,OL00137,7
SL000332,OL00138,5
SL000332,OL00139,5
SL000333,OL00104,12
SL000333,OL00105,7
SL000334,OL00110,7
SL000334,OL00111,3
SL000334,OL00112,2
SL000334,OL00113,2
SL000334,OL00114,5
SL000335,OL00005,6
SL000335,OL00006,4
SL000335,OL00007,6
SL000336,OL00220,3
SL000336,OL00221,4
SL000336,OL00222,3
SL000336,OL00223,4
SL000336,OL00224,3
SL000337,OL00066,8
SL000337,OL00067,11
SL000337,OL00068,8
SL000337,OL00069,10
SL000338,OL00195,6
SL000338,OL00196,5
SL000338,OL00197,21
SL000338,OL00198,12
SL000338,OL00199,14
SL000339,OL00082,4
SL000339,OL00083,7
SL000340,OL00279,6
SL000340,OL00280,2
SL000341,OL00036,3
SL000341,OL00037,2
SL000341,OL00038,7
SL000341,OL00039,2
SL000342,OL00146,8
SL000342,OL00147,9
SL000342,OL00148,6
SL000343,OL00031,2
SL000343,OL00032,2
SL000343,OL00033,5
SL000343,OL00034,2
SL000343,OL00035,5
SL000344,OL00040,3
SL000344,OL00041,10
SL000344,OL00042,6
SL000344,OL00043,8
SL000344,OL00044,8
SL000345,OL00021,8
SL000345,OL00022,7
SL000345,OL00023,7
SL000345,OL00024,9
SL000345,OL00025,8
SL000346,OL00089,6
SL000346,OL00090,6
SL000346,OL00091,2
SL000346,OL00092,4
SL000346,OL00093,5
SL000347,OL00026,10
SL000347,OL00027,5
SL000347,OL00028,6
SL000347,OL00029,5
SL000347,OL00030,4
SL000348,OL00118,12
SL000348,OL00119,6
SL000348,OL00120,6
SL000348,OL00121,5
SL000348,OL00122,6
SL000349,OL00062,2
SL000349,OL00063,2
SL000350,OL00074,7
SL000350,OL00075,12
SL000350,OL00076,4
SL000350,OL00077,6
SL000350,OL00078,12
SL000351,OL00049,11
SL000351,OL00050,7
SL000351,OL00051,7
SL000351,OL00052,5
SL000352,OL00019,5
SL000352,OL00020,4
SL000353,OL00045,3
SL000353,OL00046,4
SL000353,OL00047,2
SL000353,OL00048,15
SL000354,OL00200,7
SL000354,OL00201,3
SL000355,OL00438,6
SL000356,OL00439,5
SL000357,OL00440,4
SL000358,OL00441,3
SL000359,OL00442,2
SL000360,OL00444,6
SL000361,OL00445,5
SL000362,OL00446,5
SL000363,OL00447,5
SL000364,OL00448,3
SL000365,OL00450,3
SL000366,OL00451,2
SL000367,OL00452,4
SL000368,OL00453,5
SL000369,OL00455,5
SL000370,OL00457,6
SL000371,OL00458,5
SL000372,OL00459,5
SL000373,OL00460,3
SL000374,OL00462,2
SL000375,OL00464,3
SL000376,OL00467,1
SL000377,OL00468,7
SL000378,OL00470,8
SL000379,OL00472,6
SL000380,OL00474,2
SL000381,OL00475,2
SL000382,OL00477,10
SL000383,OL00478,2
SL000384,OL00479,2
SL000385,OL00480,2
SL000386,OL00481,3
SL000387,OL00482,9
SL000388,OL00483,3
SL000389,OL00484,2
SL000390,OL00485,5
SL000391,OL00486,11
SL000392,OL00487,5
SL000393,OL00488,3
SL000394,OL00489,11
SL000395,OL00490,3
SL000396,OL00492,1
SL000397,OL00493,1
SL000398,OL00495,4
SL000399,OL00496,5
SL000400,OL00497,11
SL000401,OL00498,1
SL000402,OL00499,2
SL000403,OL00500,1
SL000404,OL00501,8
SL000405,OL00502,6
SL000406,OL00503,5
SL000407,OL00505,5
SL000408,OL00507,4
SL000409,OL00508,4
SL000410,OL00509,5
SL000411,OL00510,7
SL000412,OL00511,6
SL000413,OL00513,3
SL000413,OL00514,6
SL000413,OL00515,4
SL000414,OL00516,1
SL000415,OL00517,4
SL000416,OL00518,3
SL000417,OL00521,16
SL000418,OL00522,1
SL000419,OL00523,3
SL000420,OL00524,3
SL000421,OL00526,2
SL000422,OL00528,4
SL000423,OL00529,2
SL000424,OL00530,4
SL000425,OL00531,5
SL000426,OL00532,7
SL000427,OL00533,7
SL000428,OL00534,10
SL000429,OL00535,4
SL000430,OL00538,4
SL000431,OL00539,4
SL000432,OL00540,2
SL000433,OL00541,2
SL000434,OL00542,5
SL000435,OL00545,2
SL000436,OL00546,5
SL000437,OL00548,5
SL000438,OL00549,4
SL000439,OL00551,3
SL000440,OL00552,3
SL000441,OL00262,4
SL000441,OL00263,3
SL000441,OL00264,8
SL000441,OL00265,6
SL000441,OL00266,5
SL000442,OL00176,5
SL000442,OL00177,11
SL000442,OL00178,6
SL000442,OL00179,17
SL000442,OL00180,10
SL000443,OL00375,6
SL000444,OL00158,5
SL000444,OL00159,10
SL000444,OL00160,5
SL000445,OL00171,4
SL000445,OL00172,6
SL000445,OL00173,6
SL000445,OL00174,1
SL000446,OL00115,7
SL000446,OL00116,4
SL000446,OL00117,6
SL000447,OL00233,5
SL000447,OL00234,3
SL000447,OL00235,3
SL000448,OL00141,8
SL000448,OL00142,5
SL000448,OL00143,4
SL000448,OL00144,3
SL000448,OL00145,2
SL000449,OL00206,4
SL000449,OL00207,4
SL000449,OL00208,3
SL000449,OL00209,5
SL000449,OL00210,5
SL000450,OL00151,8
SL000450,OL00152,11
SL000450,OL00153,10
SL000451,OL00168,6
SL000451,OL00169,4
SL000452,OL00154,10
SL000452,OL00155,4
SL000452,OL00156,8
SL000452,OL00157,8
SL000453,OL00164,11
SL000453,OL00165,7
SL000453,OL00166,5
SL000453,OL00167,14
SL000454,OL00267,7
SL000455,OL00188,11
SL000455,OL00189,13
SL000456,OL00213,8
SL000456,OL00214,16
SL000456,OL00215,6
SL000457,OL00295,5
SL000457,OL00296,4
SL000457,OL00297,3
SL000457,OL00298,5
SL000457,OL00299,6
SL000458,OL00288,3
SL000458,OL00289,3
SL000459,OL00254,7
SL000459,OL00255,2
SL000459,OL00256,3
SL000459,OL00257,8
SL000460,OL00161,4
SL000460,OL00162,4
SL000460,OL00163,8
SL000461,OL00337,5
SL000461,OL00338,4
SL000462,OL00268,8
SL000462,OL00269,2
SL000463,OL00123,7
SL000463,OL00124,10
SL000463,OL00125,10
SL000463,OL00126,2
